Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
24,Red Rocha,C,29,SYR,69,,2454,268,690,.388,,,,268,690,.388,.388,234,310,.755,,,510,137,,,,257,770
25,Jack Coleman,PF,28,ROC,70,,2625,314,748,.420,,,,314,748,.420,.420,135,208,.649,,,774,231,,,,245,763
26,Bill Tosheff,PG,26,INO,67,,2459,253,783,.323,,,,253,783,.323,.323,253,314,.806,,,229,243,,,,243,759
27,Nat Clifton*,PF,30,NYK,70,,2496,272,794,.343,,,,272,794,.343,.343,200,343,.583,,,761,231,,,,274,744
28,Slater Martin*,PG,27,MNL,70,,2556,260,634,.410,,,,260,634,.410,.410,224,287,.780,,,186,250,,,,246,744
29,Eddie Miller,C,21,TOT,70,,2018,273,781,.350,,,,273,781,.350,.350,187,287,.652,,,669,115,,,,250,733
30,Ernie Vandeweghe,SG,24,NYK,61,,1745,272,625,.435,,,,272,625,.435,.435,187,244,.766,,,342,144,,,,242,731
31,Connie Simmons,C,27,NYK,65,,1707,240,637,.377,,,,240,637,.377,.377,249,340,.732,,,458,127,,,,252,729
32,Frankie Brian,SG,29,FTW,68,,1910,245,699,.351,,,,245,699,.351,.351,236,297,.795,,,133,142,,,,205,726
33,Monk Meineke,PF,22,FTW,68,,2250,240,630,.381,,,,240,630,.381,.381,245,313,.783,,,466,148,,,,334,725
34,Fred Schaus,SF,27,FTW,69,,2541,240,719,.334,,,,240,719,.334,.334,243,296,.821,,,413,245,,,,261,723
